Datetime,Strain1,Strain2,Strain3,Strain4
2013/9/11,-0.841528311,0.014391734,0.134621942,0.601181861
2013/9/12,-2.595769891,-0.694608818,0.322315847,-0.571315417
2013/9/13,-4.076557339,-1.259638988,1.120024847,-1.282257222
2013/9/14,-4.440894569,-1.022590427,2.688992887,-1.987286829
2013/9/15,-3.994077626,-0.188754121,6.539585373,-2.081381956
2013/9/16,-3.504114691,0.813551126,8.14993028,-1.768956075
2013/9/17,-3.246889916,1.476562868,8.495598238,-3.44423713
2013/9/18,-2.15266838,1.803248892,3.178587444,-3.261274667
2013/9/19,-0.539806027,1.938551386,-3.63025319,-2.573063158
2013/9/20,-0.87042022,2.261695955,-4.342512438,-1.221816073
2013/9/21,-0.121526138,2.830216241,-5.131485805,-1.979911626
2013/9/22,1.007690246,3.220847374,-6.001259856,-1.260428574
2013/9/23,1.210342065,3.828817127,-1.496709304,-2.401299025
2013/9/24,2.727562103,4.516955147,7.534653603,-0.752373985
2013/9/25,-0.777710215,1.229289697,-1.500834806,0.583524814
2013/9/26,-6.735702117,-4.223823987,-13.03128371,-2.794037487
2013/9/27,-15.45444259,-8.036542426,-24.47636191,-11.33044661
2013/9/28,-17.34484255,-12.54266706,-31.00281757,-14.03673794
2013/9/29,-24.06759547,-15.79371014,-37.30296197,-20.80542354
2013/9/30,-26.87870891,-17.69075432,-40.41671762,-24.44939306
2013/10/1,-27.37564129,-18.68179784,-42.03190999,-26.02263063
2013/10/2,-28.44693336,-18.54659566,-40.90263763,-25.54200969
2013/10/3,-28.05835175,-16.56854753,-41.28743941,-26.76464561
2013/10/4,-27.87941812,-18.0493292,-48.29831992,-28.87767628
2013/10/5,-28.56653954,-18.37435729,-51.42058042,-29.74301018
2013/10/6,-28.50192465,-18.30893925,-51.73624307,-30.32479776
2013/10/7,-27.27033594,-17.19721389,-51.10473907,-28.03963899
2013/10/8,-25.14409904,-15.42071752,-45.60690161,-26.11631045
2013/10/9,-25.56903979,-15.08035694,-45.25017002,-27.13831263
2013/10/10,-24.72208283,-14.34711217,-43.69826834,-25.47027476
