Datetime,yandaoWD,chedaoWD,W
2013/9/11,-0.081482,-0.202424,0.0
2013/9/12,-0.207032,-0.225282,-0.05
2013/9/13,-0.137666,0.29184,-0.08
2013/9/14,0.175048,1.177978,-0.09
2013/9/15,0.51245,1.745392,-0.11
2013/9/16,0.630676,1.88736,-0.13
2013/9/17,0.757934,1.934722,-0.17
2013/9/18,0.869934,2.405028,-0.2
2013/9/19,1.06607,2.28659,-0.15
2013/9/20,1.062224,2.70282,-0.07
2013/9/21,1.164122,2.742034,0.01
2013/9/22,1.318602,3.08203,0.08
2013/9/23,1.345336,2.817748,0.11
2013/9/24,1.02011,2.128112,0.18
2013/9/25,-0.478608,-1.09964,0.36
2013/9/26,-1.299562,-2.36853,0.79
2013/9/27,-1.122712,-1.421326,1.32
2013/9/28,-1.800324,-3.653748,1.77
2013/9/29,-1.687744,-2.737428,2.09
2013/9/30,-1.528138,-2.068756,2.22
2013/10/1,-1.29593,-1.388214,2.25
2013/10/2,-1.14148,-0.913362,2.16
2013/10/3,-1.276674,-1.280122,1.99
2013/10/4,-1.422608,-1.795014,1.79
2013/10/5,-1.41919,-1.732118,1.61
2013/10/6,-1.284546,-1.172546,1.38
2013/10/7,-1.125032,-0.675934,1.09
2013/10/8,-1.044434,-0.259828,0.77
2013/10/9,-1.256654,-1.220398,0.52
2013/10/10,-1.179506,-0.96286,0.25
2013/10/11,-0.97815,-0.383332,-0.03
2013/10/12,-0.835756,-0.146028,-0.33
2013/10/13,-0.77536,0.1091,-0.76
2013/10/14,-0.743622,-0.151154,-1.22
2013/10/15,-0.777314,-0.015656,-1.76
2013/10/16,-1.756104,-2.80658,-2.14
2013/10/17,-2.420076,-4.280366,-2.49
2013/10/18,-2.588806,-4.296906,-2.83
2013/10/19,-2.597108,-3.646332,-3.1
2013/10/20,-2.494568,-3.432496,-3.34
2013/10/21,-2.440492,-3.19043,-3.57
2013/10/22,-2.64084,-3.60611,-3.78
2013/10/23,-2.7016,-3.602204,-3.98
2013/10/24,-2.597016,-2.868256,-4.12
2013/10/25,-2.71994,-3.471406,-4.21
2013/10/26,-3.303712,-5.14911,-4.25
2013/10/27,-3.591034,-5.391938,-4.27
2013/10/28,-3.503632,-4.97583,-4.31
2013/10/29,-3.502716,-4.84555,-4.45
2013/10/30,-3.318634,-3.796662,-4.49
2013/10/31,-3.792848,-5.310304,-4.51
2013/11/1,-3.80774,-5.222382,-4.47
2013/11/2,-4.115114,-5.798066,-4.38
2013/11/3,-4.632538,-6.936524,-4.33
2013/11/4,-4.360016,-5.905426,-4.31
2013/11/5,-4.503296,-6.040344,-4.33
2013/11/6,-4.400606,-5.689912,-4.33
2013/11/7,-4.432588,-5.74579,-4.33
2013/11/8,-4.400666,-5.268402,-4.34
2013/11/9,-3.962586,-4.010376,-4.39
