Datetime,Strain1,Strain2,Strain3,Strain4,yandaoWD,chedaoWD,W
2013/9/11,-0.841528311,0.014391734,0.134621942,0.601181861,-0.081482,-0.202424,0
2013/9/12,-2.595769891,-0.694608818,0.322315847,-0.571315417,-0.207032,-0.225282,-0.05
2013/9/13,-4.076557339,-1.259638988,1.120024847,-1.282257222,-0.137666,0.29184,-0.08
2013/9/14,-4.440894569,-1.022590427,2.688992887,-1.987286829,0.175048,1.177978,-0.09
2013/9/15,-3.994077626,-0.188754121,6.539585373,-2.081381956,0.51245,1.745392,-0.11
2013/9/16,-3.504114691,0.813551126,8.14993028,-1.768956075,0.630676,1.88736,-0.13
2013/9/17,-3.246889916,1.476562868,8.495598238,-3.44423713,0.757934,1.934722,-0.17
2013/9/18,-2.15266838,1.803248892,3.178587444,-3.261274667,0.869934,2.405028,-0.2
2013/9/19,-0.539806027,1.938551386,-3.63025319,-2.573063158,1.06607,2.28659,-0.15
2013/9/20,-0.87042022,2.261695955,-4.342512438,-1.221816073,1.062224,2.70282,-0.07
2013/9/21,-0.121526138,2.830216241,-5.131485805,-1.979911626,1.164122,2.742034,0.01
2013/9/22,1.007690246,3.220847374,-6.001259856,-1.260428574,1.318602,3.08203,0.08
2013/9/23,1.210342065,3.828817127,-1.496709304,-2.401299025,1.345336,2.817748,0.11
2013/9/24,2.727562103,4.516955147,7.534653603,-0.752373985,1.02011,2.128112,0.18
2013/9/25,-0.777710215,1.229289697,-1.500834806,0.583524814,-0.478608,-1.09964,0.36
2013/9/26,-6.735702117,-4.223823987,-13.03128371,-2.794037487,-1.299562,-2.36853,0.79
2013/9/27,-15.45444259,-8.036542426,-24.47636191,-11.33044661,-1.122712,-1.421326,1.32
2013/9/28,-17.34484255,-12.54266706,-31.00281757,-14.03673794,-1.800324,-3.653748,1.77
2013/9/29,-24.06759547,-15.79371014,-37.30296197,-20.80542354,-1.687744,-2.737428,2.09
2013/9/30,-26.87870891,-17.69075432,-40.41671762,-24.44939306,-1.528138,-2.068756,2.22
2013/10/1,-27.37564129,-18.68179784,-42.03190999,-26.02263063,-1.29593,-1.388214,2.25
2013/10/2,-28.44693336,-18.54659566,-40.90263763,-25.54200969,-1.14148,-0.913362,2.16
2013/10/3,-28.05835175,-16.56854753,-41.28743941,-26.76464561,-1.276674,-1.280122,1.99
2013/10/4,-27.87941812,-18.0493292,-48.29831992,-28.87767628,-1.422608,-1.795014,1.79
2013/10/5,-28.56653954,-18.37435729,-51.42058042,-29.74301018,-1.41919,-1.732118,1.61
2013/10/6,-28.50192465,-18.30893925,-51.73624307,-30.32479776,-1.284546,-1.172546,1.38
2013/10/7,-27.27033594,-17.19721389,-51.10473907,-28.03963899,-1.125032,-0.675934,1.09
2013/10/8,-25.14409904,-15.42071752,-45.60690161,-26.11631045,-1.044434,-0.259828,0.77
2013/10/9,-25.56903979,-15.08035694,-45.25017002,-27.13831263,-1.256654,-1.220398,0.52
2013/10/10,-24.72208283,-14.34711217,-43.69826834,-25.47027476,-1.179506,-0.96286,0.25
2013/10/11,-24.01075015,-13.52108965,-40.4952147,-24.73243357,-0.97815,-0.383332,-0.03
2013/10/12,-21.95552183,-11.82551798,-37.01395716,-23.2293858,-0.835756,-0.146028,-0.33
2013/10/13,-20.92583364,-10.68993721,-38.05525779,-23.26969302,-0.77536,0.1091,-0.76
2013/10/14,-19.05274978,-8.855453038,-38.94935628,-22.89019938,-0.743622,-0.151154,-1.22
2013/10/15,-15.70203853,-7.183357017,-37.92499562,-19.42992617,-0.777314,-0.015656,-1.76
2013/10/16,-15.06845348,-7.816525135,-41.81921849,-16.90739183,-1.756104,-2.80658,-2.14
2013/10/17,-17.57253969,-9.229924923,-47.14854596,-17.26402423,-2.420076,-4.280366,-2.49
2013/10/18,-19.92865875,-11.00902206,-51.38833966,-19.94728434,-2.588806,-4.296906,-2.83
2013/10/19,-23.16070642,-12.24908145,-54.373412,-22.08320496,-2.597108,-3.646332,-3.1
2013/10/20,-24.14022642,-12.4893291,-55.4738011,-23.08202563,-2.494568,-3.432496,-3.34
2013/10/21,-24.12374744,-12.15504444,-54.57677959,-23.06135106,-2.440492,-3.19043,-3.57
2013/10/22,-24.22729302,-12.63026904,-56.28556096,-23.60300847,-2.64084,-3.60611,-3.78
2013/10/23,-25.42908835,-13.00021866,-58.74412931,-24.4781181,-2.7016,-3.602204,-3.98
2013/10/24,-26.11706078,-12.73283597,-58.8910874,-25.3483382,-2.597016,-2.868256,-4.12
2013/10/25,-25.33455849,-12.68720615,-59.85023024,-25.39165586,-2.71994,-3.471406,-4.21
2013/10/26,-26.55186488,-14.36991173,-62.96753854,-25.06890548,-3.303712,-5.14911,-4.25
2013/10/27,-28.71799861,-15.37162992,-66.29365312,-27.26605258,-3.591034,-5.391938,-4.27
2013/10/28,-31.28369958,-17.38922119,-68.06631732,-28.9517036,-3.503632,-4.97583,-4.31
2013/10/29,-31.18014975,-17.22558817,-67.63324853,-30.14857366,-3.502716,-4.84555,-4.45
2013/10/30,-32.1935099,-17.29742968,-66.56270072,-29.41018514,-3.318634,-3.796662,-4.49
2013/10/31,-29.65371022,-17.1151477,-63.86995475,-26.56908674,-3.792848,-5.310304,-4.51
2013/11/1,-30.72131291,-18.11384169,-61.55288066,-27.54176893,-3.80774,-5.222382,-4.47
2013/11/2,-31.06317674,-19.41614103,-60.80496932,-26.61551162,-4.115114,-5.798066,-4.38
2013/11/3,-31.33230036,-21.08958305,-60.15292339,-26.88495352,-4.632538,-6.936524,-4.33
2013/11/4,-36.08144555,-22.58277348,-61.91428984,-30.86503266,-4.360016,-5.905426,-4.31
2013/11/5,-38.57765276,-22.64892746,-63.81057496,-32.65806862,-4.503296,-6.040344,-4.33
2013/11/6,-40.04240327,-23.47588427,-65.64099508,-33.55830374,-4.400606,-5.689912,-4.33
2013/11/7,-40.55693431,-23.9911633,-66.51524965,-35.53220324,-4.432588,-5.74579,-4.33
2013/11/8,-41.07974455,-23.87107704,-66.6117377,-35.6360841,-4.400666,-5.268402,-4.34
2013/11/9,-41.4531205,-23.68253113,-64.45620016,-37.20264728,-3.962586,-4.010376,-4.39
2013/11/10,-39.82914345,-22.92011809,-60.59342985,-34.91706471,-4.036928,-3.873658,-4.55
2013/11/11,-37.41798936,-23.3427389,-61.39102982,-31.85610823,-4.655396,-6.542328,-4.71
2013/11/12,-35.04406021,-24.91656423,-62.2132486,-27.12507912,-5.376984,-8.271576,-4.79
2013/11/13,-38.22614621,-27.95647138,-65.19944497,-28.68374771,-6.07013,-9.27057,-4.79
2013/11/14,-45.24312737,-30.1761948,-69.23231365,-33.81824208,-6.155274,-8.947388,-4.61
2013/11/15,-50.83115978,-32.76881,-72.68871899,-40.44120129,-6.127716,-8.527862,-4.14
2013/11/16,-54.2936418,-34.91734035,-75.59335673,-44.74196357,-5.993928,-8.19632,-3.7
2013/11/17,-54.94544202,-36.60267479,-78.57953615,-46.15736046,-5.813966,-7.602722,-3.41
2013/11/18,-58.73024867,-37.49419085,-83.28571263,-48.66295472,-5.949036,-7.994842,-3.27
2013/11/19,-58.69624786,-38.41653281,-86.99352942,-49.97355892,-6.088472,-8.538362,-3.23
2013/11/20,-61.46974787,-38.99737689,-89.3493651,-52.55694732,-6.317994,-8.563264,-3.3
2013/11/21,-62.11420126,-39.8072713,-90.14406423,-53.48424702,-6.015138,-7.587158,-3.46
2013/11/22,-59.61445078,-39.00363567,-88.40664386,-52.46140415,-6.054352,-7.93692,-3.67
2013/11/23,-58.77879889,-38.37923456,-87.55069051,-51.21701292,-6.031892,-7.934692,-3.87
2013/11/24,-57.5677069,-37.88708633,-84.16888404,-48.93481018,-6.226166,-7.007172,-4.08
2013/11/25,-59.23567998,-38.99937718,-84.80805714,-49.20288352,-6.82724,-9.7901,-4.21
2013/11/26,-59.87005567,-39.55450064,-85.32481112,-47.98776543,-6.964418,-9.624664,-4.32
2013/11/27,-62.52381477,-40.9929811,-87.44065781,-49.14735579,-6.932282,-9.047914,-4.4
2013/11/28,-60.98728906,-42.58587067,-90.92509877,-49.13144356,-7.574402,-11.107942,-4.45
2013/11/29,-63.47185699,-44.69522764,-95.63217298,-51.52937457,-7.89084,-11.621276,-4.47
2013/11/30,-68.63395738,-46.16813717,-99.73517543,-55.40292883,-8.131592,-11.727784,-4.48
2013/12/1,-70.00808542,-47.3690731,-101.3080603,-57.03344489,-7.80713,-10.676636,-4.52
2013/12/2,-72.02360277,-47.20577024,-101.0652082,-58.30225771,-8.023286,-11.092956,-4.59
2013/12/3,-74.06246439,-47.3734264,-101.5186726,-60.85479687,-7.86728,-10.206482,-4.7
2013/12/4,-72.24393857,-47.73342996,-100.9348554,-59.51430968,-7.667542,-9.816376,-4.83
2013/12/5,-71.77415207,-47.7928479,-100.9954392,-59.90400269,-7.904206,-10.447114,-4.93
2013/12/6,-71.58076657,-48.05344386,-101.012393,-60.12476844,-7.772522,-10.08252,-5.03
2013/12/7,-70.95664897,-48.76576147,-101.6426878,-59.33638802,-8.127198,-11.161316,-5.1
2013/12/8,-73.47505162,-49.01259007,-102.3649981,-60.04673476,-8.265808,-10.814514,-5.16
2013/12/9,-74.43454682,-49.42463263,-101.9558538,-60.95102551,-7.861084,-8.306946,-5.2
2013/12/10,-71.9201657,-50.3135249,-102.9375656,-58.49843266,-8.474182,-11.635772,-5.24
2013/12/11,-74.164277,-51.79390893,-106.2664896,-59.18839999,-8.581758,-11.188812,-5.3
2013/12/12,-76.69072524,-52.54486759,-108.2596418,-61.90393183,-8.917664,-12.016448,-5.36
2013/12/13,-77.70110548,-53.66619597,-110.7126716,-62.63628385,-8.90326,-11.666626,-5.41
2013/12/14,-80.10821414,-54.40622203,-111.1004262,-63.79526106,-8.828522,-11.31607,-5.41
2013/12/15,-81.39157857,-55.1845308,-112.4899944,-64.54360755,-8.829834,-11.08957,-5.38
2013/12/16,-79.6946809,-55.67234362,-114.1384203,-65.47279369,-8.919832,-11.38907,-5.35
2013/12/17,-79.44888463,-55.93376932,-113.1387357,-64.44709199,-9.475374,-12.910492,-5.25
2013/12/18,-79.70570143,-57.97257272,-113.7347084,-62.95780675,-9.675934,-13.247558,-5.22
2013/12/19,-76.88878098,-60.49563641,-115.9599052,-61.67592493,-10.275422,-14.800292,-5.22
2013/12/20,-87.12364963,-62.76582203,-118.7400283,-65.77368844,-10.599794,-14.24472,-4.97
2013/12/21,-87.4016483,-65.77009397,-121.5394693,-68.6813771,-10.770082,-14.690978,-4.8
2013/12/22,-91.61549306,-67.40642323,-124.7251259,-70.78442041,-11.029816,-15.376342,-4.67
2013/12/23,-94.3023487,-69.02165526,-127.0998738,-73.55665099,-11.173554,-15.425842,-4.6
2013/12/24,-97.25713687,-70.02025429,-128.9121199,-76.5489582,-11.410248,-15.395934,-4.61
