Datetime,Strain1,Strain2,Strain3,Strain4
2013-09-11,-0.841528311,0.014391734,,
2013-09-12,-2.595769891,,,
2013-09-13,-4.076557339,-1.259638988,,-1.282257222
2013-09-14,-4.440894569,-1.022590427,2.688992887,
2013-09-15,-3.994077626,,,
2013-09-16,-3.504114691,,8.14993028,
2013-09-17,,1.476562868,8.495598238,
2013-09-18,-2.15266838,,3.178587444,
2013-09-19,-0.539806027,1.938551386,,
2013-09-20,,2.261695955,-4.342512438,
2013-09-21,,2.830216241,-5.131485805,
2013-09-22,1.007690246,3.220847374,-6.001259856,-1.260428574
2013-09-23,,,,
2013-09-24,,,,
2013-09-25,,,,0.583524814
2013-09-26,,-4.223823987,,-2.794037487
2013-09-27,,-8.036542426,-24.47636191,-11.33044661
2013-09-28,-17.34484255,-12.54266706,-31.00281757,-14.03673794
2013-09-29,-24.06759547,,-37.30296197,
2013-09-30,,-17.69075432,-40.41671762,-24.44939306
2013-10-01,,-18.68179784,-42.03190999,
2013-10-02,,,,
2013-10-03,-28.05835175,,,-26.76464561
2013-10-04,,,-48.29831992,-28.87767628
2013-10-05,,,-51.42058042,-29.74301018
2013-10-06,-28.50192465,,-51.73624307,-30.32479776
2013-10-07,-27.27033594,-17.19721389,,-28.03963899
2013-10-08,,-15.42071752,,
2013-10-09,-25.56903979,,,
2013-10-10,-24.72208283,,-43.69826834,-25.47027476
2013-10-11,-24.01075015,-13.52108965,-40.4952147,
2013-10-12,-21.95552183,,-37.01395716,-23.2293858
2013-10-13,,,-38.05525779,-23.26969302
2013-10-14,,,-38.94935628,-22.89019938
2013-10-15,-15.70203853,,,-19.42992617
2013-10-16,-15.06845348,-7.816525135,,-16.90739183
2013-10-17,-17.57253969,,-47.14854596,-17.26402423
2013-10-18,,,-51.38833966,
2013-10-19,-23.16070642,,,-22.08320496
2013-10-20,-24.14022642,,,
2013-10-21,-24.12374744,,-54.57677959,
2013-10-22,-24.22729302,,-56.28556096,-23.60300847
2013-10-23,,-13.00021866,,-24.4781181
2013-10-24,,-12.73283597,,
2013-10-25,,-12.68720615,,-25.39165586
2013-10-26,-26.55186488,-14.36991173,-62.96753854,-25.06890548
2013-10-27,,,-66.29365312,-27.26605258
2013-10-28,,,-68.06631732,-28.9517036
2013-10-29,,,,
2013-10-30,,,-66.56270072,-29.41018514
2013-10-31,,-17.1151477,,-26.56908674
2013-11-01,,-18.11384169,,
2013-11-02,,,,-26.61551162
2013-11-03,-31.33230036,-21.08958305,,-26.88495352
2013-11-04,-36.08144555,,-61.91428984,-30.86503266
2013-11-05,,,-63.81057496,-32.65806862
2013-11-06,-40.04240327,-23.47588427,-65.64099508,-33.55830374
2013-11-07,-40.55693431,-23.9911633,-66.51524965,
2013-11-08,-41.07974455,,,-35.6360841
2013-11-09,-41.4531205,-23.68253113,-64.45620016,
2013-11-10,,,,-34.91706471
2013-11-11,-37.41798936,,-61.39102982,
2013-11-12,,-24.91656423,-62.2132486,-27.12507912
2013-11-13,,-27.95647138,,-28.68374771
2013-11-14,,,,
2013-11-15,-50.83115978,,-72.68871899,
2013-11-16,,,,
2013-11-17,-54.94544202,-36.60267479,,
2013-11-18,,,-83.28571263,
2013-11-19,,,,
2013-11-20,-61.46974787,-38.99737689,,-52.55694732
2013-11-21,,,-90.14406423,
2013-11-22,,-39.00363567,,-52.46140415
2013-11-23,-58.77879889,,,
2013-11-24,-57.5677069,,-84.16888404,-48.93481018
2013-11-25,,,-84.80805714,
2013-11-26,-59.87005567,,-85.32481112,-47.98776543
2013-11-27,,-40.9929811,,
2013-11-28,,-42.58587067,,
2013-11-29,-63.47185699,,-95.63217298,
2013-11-30,,-46.16813717,,
