监测时间,WS0202,WS0203,WS0204,WS0205,WS0206,WS0207,WS0208
2018/1/1,0,0.0,0,0,0,0,0
2018/1/2,0.6,0.1,0.2,0,0.2,0,-0.1
2018/1/3,0.7,0.3,0.3,0,0,0.5,-0.1
2018/1/4,0.8,0.3,0.1,0,-0.3,0.6,0
2018/1/5,0.8,0.4,0.4,0,0.3,0.5,0.9
2018/1/6,0.1,0.5,1,0,0.7,1.1,1.4
2018/1/7,0.6,0.6,1.4,0.6,1.1,1,1.7
2018/1/8,1.6,0.8,1.6,1.2,1.4,1,1.9
2018/1/9,1.3,1.6,1.1,1.9,1.1,0.8,2.2
2018/1/10,1.1,2.7,0.7,2.3,1.2,0.8,1.7
2018/1/11,1.1,2.4,1,2.3,1,0.8,1.2
2018/1/12,1.2,2.4,1,2.3,1.1,1.1,1.2
2018/1/13,1.1,2.3,1,2.5,1,1.6,1.4
2018/1/14,1.1,2.1,0.4,2,0.7,1.6,1.1
2018/1/15,0.8,1.9,0.4,1.9,0.3,1.7,0.9
2018/1/16,0.6,2.0,0.6,1.9,0.1,1.4,0.8
2018/1/17,0.7,2.0,0.3,2.3,0.4,1.2,0.8
2018/1/18,0.9,2.0,0.6,2.6,-0.1,1.3,0.7
2018/1/19,0.5,2.0,0.5,2.2,-0.2,1.3,0.7
2018/1/20,0.3,2.0,0.2,2.4,0.1,0.9,0.7
2018/1/21,0.6,1.8,0.2,2.3,0.6,1.2,0.4
2018/1/22,0.9,1.8,0.6,2.3,0.5,1.1,0.1
2018/1/23,0.5,1.8,0.6,2.2,-0.1,1.1,0.1
2018/1/24,1.3,1.5,0.9,2.2,-0.1,1.7,0.5
2018/1/25,1.2,1.3,0.7,2.2,-0.2,1.9,1.5
2018/1/26,1.7,1.1,1.3,2.2,0,2.3,1.9
2018/1/27,2.1,1.0,1.4,3.4,-0.1,2.1,2.1
2018/1/28,1.8,1.0,1.6,3.7,-0.2,1.2,1.9
2018/1/29,1.9,1.0,1.5,3.7,0.2,1.4,1.6
2018/1/30,1.4,1.1,1.3,3.2,0.3,1.7,1.4
2018/1/31,1.2,1.1,1,3.2,0.1,1.9,1
2018/2/1,0.5,1.1,0.5,2.5,0.5,1.4,0.8
2018/2/2,0.5,1.1,0.5,2.5,0.5,1.4,0.8
2018/2/3,0.5,1.1,0.5,2.5,0.5,1.4,0.8
2018/2/4,0.5,1.1,0.5,2.5,0.5,1.4,0.8
2018/2/5,0.5,1.1,0.5,2.5,0.5,1.4,0.8
2018/2/6,0.5,1.1,0.5,2.5,0.5,1.4,0.8
2018/2/7,0.5,1.1,0.5,2.5,0.5,1.4,0.8
2018/2/8,0.5,1.1,0.5,2.5,0.5,1.4,0.8
2018/2/9,0.7,1.1,0.5,2.5,0.4,2.1,0.1
2018/2/10,0.6,1.1,1.5,2.3,0.1,1.8,0.6
2018/2/11,0.7,1.1,1.4,2,0.3,2.1,0.7
2018/2/12,0.7,1.1,1.1,2,0.5,2,0.7
2018/2/13,0.9,1.1,1.5,2.4,0.3,2.3,0.8
2018/2/14,1,1.1,1.5,3.6,0.3,2.6,0.8
2018/2/15,0.8,1.1,1.3,3.3,0.1,2.3,0.8
2018/2/16,0.6,1.1,1.2,2.8,0.5,2.1,0.8
2018/2/17,0.8,1.1,1.5,2.4,0.2,1.5,0.8
2018/2/18,0.8,1.1,1.2,2.4,0.2,1.2,0.5
2018/2/19,0.6,1.1,1.4,2.4,0.5,1.9,0.9
2018/2/20,0.3,1.1,1.4,2.2,0.2,1.7,0.7
2018/2/21,0.2,1.1,1.1,2,0.5,1.7,0.4
2018/2/22,0.1,1.1,1.4,2,0.2,2.2,0.8
2018/2/23,0.5,1.1,1.5,2,0,2.1,1.2
2018/2/24,0.6,1.1,1.3,2.6,0.2,2.6,1.3
2018/2/25,0.6,1.1,1.1,2.6,0.2,2.6,1.3
2018/2/26,0.9,1.1,1.5,3.8,0.2,2.4,1.2
2018/2/27,0.4,1.1,1.5,3.8,0.2,2,1.2
2018/2/28,0.9,1.1,1.3,3.8,0.2,2.1,1.2
2018/3/1,1.1,1.1,0.9,3.8,0.2,1.6,1.2
2018/3/2,1.6,1.1,1.3,3.2,0.5,1.2,0.8
2018/3/3,1.1,1.1,1.5,2.8,0.4,0.9,0.8
2018/3/4,1.4,1.1,1.6,2.4,0.1,1.1,0.9
2018/3/5,1.9,1.1,1.5,2.4,0.1,1.1,1.1
2018/3/6,1.9,1.1,1.5,2.4,0.1,1.1,1.1
2018/3/7,1.9,1.1,1.3,2.4,0.7,1.1,1.1
2018/3/8,1.9,1.1,1.2,2.4,0.4,1.5,1.3
2018/3/9,1.9,1.5,1.2,2.4,0.4,1.5,1.3
2018/3/10,1.9,1.8,0.9,2.4,0.5,2,1.4
2018/3/11,2,2.1,1.3,2.4,0.5,1.9,1.3
2018/3/12,1.4,2.4,1.5,2.1,0.5,1.8,1.7
2018/3/13,1.1,2.7,1.4,2.4,0.4,1.6,1.6
2018/3/14,1.9,3.0,1.1,3.6,0.1,0.8,1.2
2018/3/15,1.9,3.3,0.9,3.6,0.1,0.7,-0.1
2018/3/16,2.1,3.6,0.1,2.9,0.2,0.8,0.2
2018/3/17,1.9,3.9,1.1,2.5,2.4,0.6,1.2
2018/3/18,1.9,4.2,1.1,2.5,7.2,1.8,1.1
2018/3/19,2,4.5,1.4,2.5,7.2,1.8,1
2018/3/20,2,4.8,2.2,7.4,7.3,1.8,1
2018/3/21,2,5.1,2,7.3,7.2,1.8,1.2
2018/3/22,2.2,5.4,2,6.5,6.9,1.5,1.3
2018/3/23,2.5,5.7,2,6.3,7.5,1.4,1.4
2018/3/24,2.6,6.0,2,6.9,7.9,0.9,1.7
2018/3/25,2.4,6.3,2.1,6.9,7.9,1.3,1.8
